LBTEST,LBTESTCD,LBSPEC
GGT/CREA-B,B-GGT/CR,URINE
Albumin quantitative urine,U_ALB,URINE
b free bilirubin,BFBIL,SERUM
Protein,PROT,URINE
Others2,OTHERS2,URINE
Specific Gravity,SPGRAV,URINE
Alanine Aminotransferase,ALT,PLASMA
Anisocytes,ANISO,PLASMA
Triglycerides,TRIG,SERUM
Howell-Jolly Bodies,JOLLY-K.,PLASMA
Poikilocytes,POIKILO,PLASMA
HYPOCHR-M,HYPOCR-M,PLASMA
T4-MON,T4-MON,SERUM
Triiodothyronine,T3,SERUM
Aspartate Aminotransferase,AST,Serum Cat
Calcium,CA,Serum Cat
Lipase,LIPASE,Serum Cat
Oxalate,OXALATE,URINE
Glutamate Dehydrogenase,GLDH,PLASMA
Spec Grav,B-GEW,URINE
7-Ethoxycoumarin deethylase,ECOD,LIVER
LDH-Lav.,LAV-LDH,LUNG
Amorphous Urate Crystals,CYAMPURT,URINE
Potassium,K,WHOLE BLOOD
Protein,PROT,Serum Rabbit
Creatine Kinase,CK,Serum Rabbit
O-DEM,LB-ODE,LIVER
Myelocytes,MYCY,Blood smears
Nucl Shad,SMDGCE,Blood smears
Target Cells,TRGTCE,Blood smears
LDH/CREA-B,B-LDH/CR,URINE
Prot/Crea-B,BPROT/CR,URINE
LyTyp09,LYTYP09,WHOLE BLOOD
Monocyte mature,BM11,Monocyte mature
Erythropoiesis,BM19,Erythropoiesis
Eosinophil granulo mature,BM08,Eosinophil granulo mature
INSU-Ratte,INSU-RA,Plasma EDTA
Carnitine Acetyl Transferase,CARNITAT,Carnitine Acetyl Transferase
b urinary creatinine,BUCREA,URINE
B-SG-STIX,B-SG,URINE
Taurodeoxycholic acid,TDCA,PLASMA
Cortisol,COR,Plasma EDTA
b HDL cholesterol,BHDLC,SERUM
Prothrombin Time,PT,WHOLE BLOOD
Fibrinogen,FIBRINO,WHOLE BLOOD
Anti-KLH IgG,AKLHG,SERUM
Urine Albumine per Creatinine,UALBCRC,URINE
Glucose,GLUC,URINE
Ery. Mean Corpuscular Volume,MCV,PLASMA
Potassium,K,SERUM
Cellular Casts,CSCELL,URINE
Others3,OTHERS3,URINE
Spermatozoa,SPERM,URINE
Eosinophils,EOS,WHOLE BLOOD
Aspartate Aminotransferase,AST,SERUM
Granulocytes/Mononuclear Cells,GRANMNC,WHOLE BLOOD
Neutrophils,NEUT,WHOLE BLOOD
Myeloblasts,MYBLA,PLASMA
Prothrombin Time,PT,PLASMA
Toxic Granulation,TOXGRAN,PLASMA
Fibrinogen,FIBRINO,PLASMA
Kurloff Cells,KURLOFCE,PLASMA
D-Dimer,D-DIMER,PLASMA
Chloride,CL,Serum Cat
Alanine Aminotransferase,ALT,Serum Cat
Glucose,GLUC,Serum Cat
7-Ethoxyresorufin deethylase,EROD,Liver Bio Chemie
Carnitine Acetyl Transferase,CARNITAT,Liver Bio Chemie
Squamous Transitional Epithelial Cells,EPISQTCE,URINE
Color,COLOR,URINE
Urea,UREA,URINE
Hyperchromia,HYPERCHR,WHOLE BLOOD
Calcium,CA,WHOLE BLOOD
Glucose whole blood,GLUC_WB,SERUM
MACRO-M,MACRO-M,Blood smears
Polychromasia,POLYCHR,Blood smears
NAG-B,B-NAG,URINE
BHBS,BHBS,PCA/TCA
LyTyp03,LYTYP03,WHOLE BLOOD
Unidentified cells,BM18,Unidentified cells
Plasma cells,BM13,Plasma cells
Iron,IRON,SERUM
Calcium quantitative  urine,U_CA,URINE
Deoxycholic acid,DCA,PLASMA
Progesteron,PROG,Plasma EDTA
Urea*VOL,UREAVO,URINE
GGT-B,B-GGT,URINE
ImFun05,IMFUN05,WHOLE BLOOD
ImFun23,IMFUN23,WHOLE BLOOD
ImFun04,IMFUN04,WHOLE BLOOD
Amorphous Sediment,AMORPHSD,URINE
Creatine Kinase,CK,PLASMA
Protein/Creatinine,PROTCRT,URINE
Sodium,SODIUM,SERUM
Thyrotropin,TSH,SERUM
Leukocytes,WBC,PLASMA
Bilirubin,BILI,URINE
Lactate Dehydrogenase,LDH,PLASMA
Macrocytes,MACROCY,PLASMA
Mucous Threads,MUCTHR,URINE
Hemoglobin,HGB,PLASMA
Lymphocytes,LYM,PLASMA
No Abnormalities Detected Sediment,SD_NAD,URINE
Hemoglobin,HGB,WHOLE BLOOD
Protein,PROT,SERUM
Others,SONSTIGE,PLASMA
Basophilic Stippling,STIPBASO,PLASMA
Nucleated Erythrocytes,RBCNUC,PLASMA
b alpha globulin,BAGLOB,SERUM
Gamma Globulin,GLOBG,SERUM
Osmolality,OSMLTY,URINE
Thrombin Time,TT,PLASMA
Phosphate,PHOS,SERUM
Adrenaline in urine,UADR,URINE
Urea,UREA,Serum Cat
Fe,FE,Serum Cat
Platelet Hematocrit,PLATHCT,WHOLE BLOOD
Calcium,CA,PLASMA
Specimen Appearance,APPEAR,URINE
Fe,FE,PLASMA
S-Bile Acids,SGAL,SERUM
Fe,FE,SERUM
Direct Bilirubin,BILDIR,URINE
Chloride,CL,WHOLE BLOOD
Creatinine,CREAT,WHOLE BLOOD
LDL-Cholesterol,LDL,SERUM
Potassium,K,Serum Rabbit
Gamma Glutamyl Transferase,GGT,Serum Rabbit
Others,SONSTIGE,Blood smears
Eosinophils,EOS,Blood smears
Basophils,BASO,Blood smears
NAG/CREA-B,B-NAG/CR,URINE
LDH-B,B-LDH,URINE
Crystals,CRYSTALS,URINE
Clarity,CLARITY,URINE
HBA1C,HBA1C,PLASMA
LyTyp02,LYTYP02,WHOLE BLOOD
LyTyp14,LYTYP14,WHOLE BLOOD
LyTyp21,LYTYP21,WHOLE BLOOD
Basophil granulo immature,BM09,Basophil granulo immature
7-Ethoxyresorufin deethylase,EROD,7-Ethoxyresorufin Deethylase
FERR,FERR,PLASMA
Epoxide Hydrolase,EH,LIVER
Bili-f,BILIF-TI,SERUM
acid-omega,MCA_O,PLASMA
Glycodeoxycholic acid,GDCA,PLASMA
Tauroursodeoxycholic acid,TUDCA,PLASMA
Muricholic acid-beta,MCAB,PLASMA
Metamyelocytes,METAMY,WHOLE BLOOD
Blasts/Leukocytes,BLASTLE,WHOLE BLOOD
Mg-B,B-MG,URINE
ImFun06,IMFUN06,WHOLE BLOOD
Anti-KLH IgM,AKLHM,SERUM
Hep-Quick,HQUICK,PLASMA
Hematocrit,HCT,PLASMA
Gamma Glutamyl Transferase,GGT,SERUM
Promyelocytes,PROMY,PLASMA
Plasmodia,PLASMODI,PLASMA
Bilirubin,BILI,Serum Cat
Mean Platelet Volume,MPV,WHOLE BLOOD
Chloride,CL,PLASMA
Anisocytes,ANISO,WHOLE BLOOD
Lactate Dehydrogenase,LDH,WHOLE BLOOD
Triglycerides,TRIG,WHOLE BLOOD
Alkaline Phosphatase,ALP,WHOLE BLOOD
Aspartate Aminotransferase,AST,WHOLE BLOOD
Albumin,ALB,WHOLE BLOOD
Sodium,SODIUM,Serum Rabbit
Glucose,GLUC,Serum Rabbit
Anisocytes,ANISO,Blood smears
Hypersegmented Cells,HYPSEGCE,Blood smears
Urea-B,B-UREA,URINE
ACET,ACET,PCA/TCA
LyTyp04,LYTYP04,WHOLE BLOOD
LyTyp05,LYTYP05,WHOLE BLOOD
Reticulocytes/Erythrocytes,RETIRBC,PLASMA
PROT*VOL,U-PRT-VO,URINE
Lipase,LIPASE,PLASMA
LDL-RD,LDL-RD,PLASMA
Glycoursodeoxycholic acid,GUDCA,PLASMA
T3-MON,T3-MON,SERUM
Activated Partial Thromboplastin Time,APTT,WHOLE BLOOD
Potassium,K,Serum Mouse
Cortisol,COR,SERUM
Osmolality,OSMLTY,PLASMA
CL*VOL-BW,U-CL-KVO,URINE
b UPROTQ corrected for CREA,BUPROTQC,URINE
Corticosterone,CCS_C,Plasma EDTA
GGT Urine,U-GGT,URINE
